Ray endpoint 1: lat. (deg. N), long. (deg. E), height (km)
   46.85   15.75     0.00
Ray endpoint 2: lat. (deg. N), long. (deg. E), height (km)
   44.28   -4.33 20000.00
zenith angle (deg.) and azimuth (N over E to S, deg.) of ray at endpoint 1 
   18.69  -93.05
Year, S10.7, R12, month, UT: ****,  98.3,  45.0,  1,  3.0

Electron contents along ray.
  (h1-h2) means from point in height h1 to point in height h2 (heights in km)
 s: coordinate along ray
 r: radius (distance from center of Earth)
 
      s       r    height  lat   long   el.density
     km      km      km   deg N  deg E    m^-3
 12725.3 18871.2 12500.0   44.78  358.05 0.361188E+08
 12976.7 19121.2 12750.0   44.76  357.94 0.344884E+08
 13228.2 19371.2 13000.0   44.74  357.83 0.329370E+08
 13479.6 19621.2 13250.0   44.72  357.73 0.314604E+08
 13730.9 19871.2 13500.0   44.70  357.63 0.300543E+08
 13982.2 20121.2 13750.0   44.68  357.53 0.287150E+08
 14233.5 20371.2 14000.0   44.66  357.43 0.274389E+08
 14484.7 20621.2 14250.0   44.64  357.34 0.262228E+08
 14736.0 20871.2 14500.0   44.62  357.24 0.250635E+08
 14987.2 21121.2 14750.0   44.60  357.15 0.239581E+08
 15238.3 21371.2 15000.0   44.58  357.07 0.229038E+08
 15489.5 21621.2 15250.0   44.56  356.98 0.218981E+08
 15740.6 21871.2 15500.0   44.55  356.90 0.209385E+08
 15991.6 22121.2 15750.0   44.53  356.81 0.200227E+08
 16242.7 22371.2 16000.0   44.51  356.74 0.191486E+08
 16493.7 22621.2 16250.0   44.49  356.66 0.183141E+08
 16744.8 22871.2 16500.0   44.48  356.58 0.175174E+08
 16995.7 23121.2 16750.0   44.46  356.51 0.167565E+08
 17246.7 23371.2 17000.0   44.45  356.43 0.160298E+08
 17497.7 23621.2 17250.0   44.43  356.36 0.153356E+08
 17748.6 23871.2 17500.0   44.42  356.29 0.146725E+08
 17999.5 24121.2 17750.0   44.40  356.22 0.140388E+08
 18250.4 24371.2 18000.0   44.39  356.16 0.134333E+08
 18501.3 24621.2 18250.0   44.37  356.09 0.128546E+08
 18752.1 24871.2 18500.0   44.36  356.03 0.123015E+08
 19003.0 25121.2 18750.0   44.34  355.97 0.117728E+08
 19253.8 25371.2 19000.0   44.33  355.90 0.112674E+08
 19504.6 25621.2 19250.0   44.32  355.84 0.107842E+08
 19755.4 25871.2 19500.0   44.30  355.78 0.103221E+08
 20006.2 26121.2 19750.0   44.29  355.73 0.988031E+07
 20256.9 26371.2 20000.0   44.28  355.67 0.945780E+07
Electron contents (   0-1000),(1000-2000),(2000-20000),(   0-20000)
                       25.34        1.57        1.83       28.75   x10^15 m^-2
